Timer: 0.229986
 0.000556 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.001667 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.002778 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.003889 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.142778 0.636416 -0.489678 0.531741 1.081543 1.001066 0.000000
 0.143889 0.634103 -0.485752 0.529044 1.080762 1.001078 0.000000
 0.145000 0.631796 -0.481826 0.526358 1.079981 1.001090 0.000000
 0.146111 0.629496 -0.477898 0.523683 1.079200 1.001102 0.000000
 0.147222 0.627201 -0.473970 0.521019 1.078418 1.001115 0.000000
 0.148333 0.624913 -0.470041 0.518366 1.077637 1.001127 0.000000
 0.149444 0.622631 -0.466112 0.515725 1.076856 1.001139 0.000000
 0.150556 0.620356 -0.462181 0.513094 1.076074 1.001152 0.000000
 0.151667 0.618086 -0.458250 0.510475 1.075292 1.001164 0.000000
 0.152778 0.615823 -0.454319 0.507866 1.074510 1.001177 0.000000
 0.153889 0.613566 -0.450387 0.505269 1.073728 1.001189 0.000000
 0.155000 0.611316 -0.446454 0.502682 1.072946 1.001202 0.000000
 0.156111 0.609072 -0.442521 0.500107 1.072164 1.001215 0.000000
 0.157222 0.606834 -0.438587 0.497543 1.071382 1.001228 0.000000
 0.158333 0.604602 -0.434653 0.494989 1.070600 1.001240 0.000000
 0.159444 0.602377 -0.430718 0.492447 1.069817 1.001253 0.000000
 0.160556 0.600158 -0.426783 0.489916 1.069035 1.001266 0.000000
 0.161667 0.597945 -0.422847 0.487395 1.068253 1.001279 0.000000
 0.162778 0.595739 -0.418911 0.484886 1.067470 1.001292 0.000000
 0.163889 0.593539 -0.414975 0.482387 1.066688 1.001306 0.000000
 0.165000 0.591345 -0.411039 0.479899 1.065905 1.001319 0.000000
 0.166111 0.589158 -0.407102 0.477422 1.065122 1.001332 0.000000
 0.167222 0.586977 -0.403166 0.474956 1.064340 1.001346 0.000000
 0.168333 0.584803 -0.399229 0.472501 1.063557 1.001359 0.000000
 0.169444 0.582635 -0.395292 0.470057 1.062774 1.001372 0.000000
 0.170556 0.580473 -0.391355 0.467623 1.061992 1.001386 0.000000
 0.171667 0.578318 -0.387417 0.465201 1.061209 1.001400 0.000000
 0.172778 0.576169 -0.383480 0.462789 1.060427 1.001413 0.000000
 0.173889 0.574026 -0.379543 0.460388 1.059644 1.001427 0.000000
 0.175000 0.571890 -0.375606 0.457997 1.058862 1.001441 0.000000
 0.176111 0.569760 -0.371669 0.455618 1.058079 1.001455 0.000000
 0.177222 0.567637 -0.367733 0.453249 1.057297 1.001469 0.000000
 0.178333 0.565520 -0.363796 0.450890 1.056514 1.001483 0.000000
 0.179444 0.563410 -0.359860 0.448543 1.055732 1.001497 0.000000
 0.180556 0.561306 -0.355924 0.446206 1.054950 1.001511 0.000000
 0.181667 0.559209 -0.351989 0.443880 1.054168 1.001525 0.000000
 0.182778 0.557118 -0.348053 0.441564 1.053386 1.001540 0.000000
 0.183889 0.555033 -0.344119 0.439259 1.052604 1.001554 0.000000
 0.185000 0.552955 -0.340185 0.436965 1.051822 1.001568 0.000000
 0.186111 0.550884 -0.336251 0.434682 1.051041 1.001583 0.000000
 0.187222 0.548819 -0.332318 0.432409 1.050259 1.001597 0.000000
 0.188333 0.546761 -0.328386 0.430146 1.049478 1.001612 0.000000
 0.189444 0.544709 -0.324455 0.427894 1.048697 1.001627 0.000000
 0.190556 0.542664 -0.320524 0.425653 1.047916 1.001641 0.000000
 0.191667 0.540626 -0.316594 0.423423 1.047135 1.001656 0.000000
 0.192778 0.538594 -0.312666 0.421203 1.046354 1.001671 0.000000
 0.193889 0.536569 -0.308738 0.418993 1.045574 1.001686 0.000000
 0.195000 0.534550 -0.304811 0.416794 1.044794 1.001701 0.000000
 0.196111 0.532538 -0.300886 0.414606 1.044014 1.001716 0.000000
 0.197222 0.530533 -0.296962 0.412428 1.043235 1.001731 0.000000
 0.198333 0.528534 -0.293039 0.410261 1.042456 1.001746 0.000000
 0.199444 0.526543 -0.289117 0.408104 1.041677 1.001762 0.000000
 0.200556 0.524558 -0.285198 0.405958 1.040898 1.001777 0.000000
 0.201667 0.522579 -0.281279 0.403823 1.040120 1.001792 0.000000
 0.202778 0.520608 -0.277363 0.401698 1.039342 1.001808 0.000000
 0.203889 0.518644 -0.273448 0.399584 1.038564 1.001823 0.000000
 0.205000 0.516686 -0.269535 0.397480 1.037787 1.001839 0.000000
 0.206111 0.514735 -0.265625 0.395387 1.037011 1.001855 0.000000
 0.207222 0.512792 -0.261716 0.393305 1.036234 1.001870 0.000000
 0.208333 0.510855 -0.257810 0.391233 1.035459 1.001886 0.000000
 0.209444 0.508926 -0.253906 0.389172 1.034683 1.001902 0.000000
 0.210556 0.507003 -0.250005 0.387121 1.033909 1.001918 0.000000
 0.211667 0.505088 -0.246106 0.385081 1.033135 1.001934 0.000000
 0.212778 0.503179 -0.242211 0.383052 1.032361 1.001950 0.000000
 0.213889 0.501278 -0.238318 0.381034 1.031588 1.001966 0.000000
 0.215000 0.499385 -0.234429 0.379027 1.030816 1.001982 0.000000
 0.216111 0.497499 -0.230543 0.377030 1.030044 1.001999 0.000000
 0.217222 0.495620 -0.226660 0.375044 1.029274 1.002015 0.000000
 0.218333 0.493748 -0.222781 0.373069 1.028504 1.002031 0.000000
 0.219444 0.491884 -0.218907 0.371105 1.027734 1.002048 0.000000
 0.220556 0.490028 -0.215036 0.369152 1.026966 1.002064 0.000000
 0.221667 0.488180 -0.211170 0.367210 1.026198 1.002081 0.000000
 0.222778 0.486339 -0.207308 0.365279 1.025432 1.002098 0.000000
 0.223889 0.484506 -0.203452 0.363359 1.024666 1.002114 0.000000
 0.225000 0.482681 -0.199600 0.361451 1.023902 1.002131 0.000000
 0.226111 0.480864 -0.195754 0.359554 1.023139 1.002148 0.000000
 0.227222 0.479056 -0.191914 0.357668 1.022376 1.002165 0.000000
 0.228333 0.477256 -0.188080 0.355793 1.021615 1.002182 0.000000
 0.229444 0.475464 -0.184252 0.353931 1.020856 1.002199 0.000000
 0.230556 0.473680 -0.180431 0.352079 1.020097 1.002216 0.000000
 0.231667 0.471906 -0.176618 0.350240 1.019341 1.002233 0.000000
 0.232778 0.470140 -0.172812 0.348413 1.018585 1.002250 0.000000
 0.233889 0.468383 -0.169013 0.346597 1.017832 1.002267 0.000000
 0.235000 0.466635 -0.165224 0.344794 1.017080 1.002284 0.000000
 0.236111 0.464897 -0.161443 0.343003 1.016330 1.002302 0.000000
 0.237222 0.463168 -0.157672 0.341225 1.015581 1.002319 0.000000
 0.238333 0.461449 -0.153911 0.339459 1.014835 1.002336 0.000000
 0.239444 0.459740 -0.150161 0.337706 1.014091 1.002354 0.000000
 0.240556 0.458041 -0.146422 0.335966 1.013349 1.002371 0.000000
 0.241667 0.456353 -0.142694 0.334239 1.012610 1.002389 0.000000
 0.242778 0.454675 -0.138980 0.332525 1.011873 1.002406 0.000000
 0.243889 0.453008 -0.135278 0.330826 1.011139 1.002424 0.000000
 0.245000 0.451352 -0.131591 0.329140 1.010408 1.002441 0.000000
 0.246111 0.449708 -0.127919 0.327468 1.009679 1.002459 0.000000
 0.247222 0.448076 -0.124263 0.325811 1.008954 1.002477 0.000000
 0.248333 0.446456 -0.120624 0.324169 1.008232 1.002494 0.000000
 0.249444 0.444848 -0.117003 0.322542 1.007514 1.002512 0.000000
 0.250556 0.443254 -0.113400 0.320930 1.006800 1.002530 0.000000
 0.251667 0.441673 -0.109818 0.319335 1.006090 1.002548 0.000000
 0.252778 0.440106 -0.106258 0.317755 1.005384 1.002566 0.000000
 0.253889 0.438553 -0.102720 0.316193 1.004682 1.002583 0.000000
 0.255000 0.437016 -0.099206 0.314647 1.003986 1.002601 0.000000
 0.256111 0.435493 -0.095718 0.313119 1.003294 1.002619 0.000000
 0.257222 0.433987 -0.092257 0.311610 1.002608 1.002637 0.000000
 0.258333 0.432498 -0.088825 0.310119 1.001928 1.002654 0.000000
 0.259444 0.431026 -0.085424 0.308648 1.001254 1.002672 0.000000
 0.260556 0.429572 -0.082056 0.307197 1.000586 1.002690 0.000000
 0.261667 0.428136 -0.078722 0.305766 0.999925 1.002708 0.000000
 0.262778 0.426721 -0.075425 0.304357 0.999272 1.002725 0.000000
 0.263889 0.425325 -0.072167 0.302970 0.998627 1.002743 0.000000
 0.265000 0.423951 -0.068950 0.301606 0.997989 1.002761 0.000000
 0.266111 0.422600 -0.065777 0.300266 0.997361 1.002778 0.000000
 0.267222 0.421271 -0.062650 0.298950 0.996742 1.002796 0.000000
 0.268333 0.419966 -0.059573 0.297660 0.996132 1.002814 0.000000
 0.269444 0.418687 -0.056547 0.296396 0.995533 1.002831 0.000000
 0.270556 0.417433 -0.053577 0.295160 0.994945 1.002848 0.000000
 0.271667 0.416207 -0.050665 0.293952 0.994369 1.002866 0.000000
 0.272778 0.415010 -0.047813 0.292774 0.993804 1.002883 0.000000
 0.273889 0.413842 -0.045026 0.291626 0.993253 1.002900 0.000000
 0.275000 0.412705 -0.042307 0.290510 0.992715 1.002917 0.000000
 0.276111 0.411600 -0.039659 0.289426 0.992191 1.002934 0.000000
 0.277222 0.410528 -0.037085 0.288376 0.991682 1.002951 0.000000
 0.278333 0.409490 -0.034588 0.287361 0.991189 1.002968 0.000000
 0.279444 0.408488 -0.032173 0.286382 0.990711 1.002985 0.000000
